name,pkg,bench,iters,ns_per_op,bytes_per_op,allocs_per_op,mb_per_s
mlist/BenchmarkPushPop_MList/n=1024-8,mlist,BenchmarkPushPop_MList/n=1024-8,11416015,106.8,40,2,
mlist/BenchmarkPushPop_MList/n=4096-8,mlist,BenchmarkPushPop_MList/n=4096-8,10133422,108.4,40,2,
mlist/BenchmarkPushPop_MList/n=16384-8,mlist,BenchmarkPushPop_MList/n=16384-8,10320294,115.1,40,2,
mlist/BenchmarkPushPop_MList/n=65536-8,mlist,BenchmarkPushPop_MList/n=65536-8,11959618,115.4,40,2,
mlist/BenchmarkPushPop_Slice/n=1024-8,mlist,BenchmarkPushPop_Slice/n=1024-8,670625277,1.870,0,0,
mlist/BenchmarkPushPop_Slice/n=4096-8,mlist,BenchmarkPushPop_Slice/n=4096-8,693984771,2.034,0,0,
mlist/BenchmarkPushPop_Slice/n=16384-8,mlist,BenchmarkPushPop_Slice/n=16384-8,521765808,2.023,0,0,
mlist/BenchmarkPushPop_Slice/n=65536-8,mlist,BenchmarkPushPop_Slice/n=65536-8,632233604,2.016,0,0,
mlist/BenchmarkPushPop_ContainerList/n=1024-8,mlist,BenchmarkPushPop_ContainerList/n=1024-8,10859700,117.5,56,1,
mlist/BenchmarkPushPop_ContainerList/n=4096-8,mlist,BenchmarkPushPop_ContainerList/n=4096-8,10249606,160.7,56,1,
mlist/BenchmarkPushPop_ContainerList/n=16384-8,mlist,BenchmarkPushPop_ContainerList/n=16384-8,5236104,245.4,55,1,
mlist/BenchmarkPushPop_ContainerList/n=65536-8,mlist,BenchmarkPushPop_ContainerList/n=65536-8,4961848,234.9,55,1,
mlist/BenchmarkGetRandom_MList/n=1024-8,mlist,BenchmarkGetRandom_MList/n=1024-8,100000000,10.96,0,0,
mlist/BenchmarkGetRandom_MList/n=4096-8,mlist,BenchmarkGetRandom_MList/n=4096-8,90483502,11.85,0,0,
mlist/BenchmarkGetRandom_MList/n=16384-8,mlist,BenchmarkGetRandom_MList/n=16384-8,130308650,9.094,0,0,
mlist/BenchmarkGetRandom_MList/n=65536-8,mlist,BenchmarkGetRandom_MList/n=65536-8,131777259,9.242,0,0,
mlist/BenchmarkGetRandom_Slice/n=1024-8,mlist,BenchmarkGetRandom_Slice/n=1024-8,900189156,1.249,0,0,
mlist/BenchmarkGetRandom_Slice/n=4096-8,mlist,BenchmarkGetRandom_Slice/n=4096-8,950322684,1.054,0,0,
mlist/BenchmarkGetRandom_Slice/n=16384-8,mlist,BenchmarkGetRandom_Slice/n=16384-8,1000000000,1.211,0,0,
mlist/BenchmarkGetRandom_Slice/n=65536-8,mlist,BenchmarkGetRandom_Slice/n=65536-8,924147192,1.128,0,0,
mlist/BenchmarkGetRandom_ContainerList/n=1024-8,mlist,BenchmarkGetRandom_ContainerList/n=1024-8,703663,1578,0,0,
mlist/BenchmarkGetRandom_ContainerList/n=4096-8,mlist,BenchmarkGetRandom_ContainerList/n=4096-8,162517,7489,0,0,
mlist/BenchmarkGetRandom_ContainerList/n=16384-8,mlist,BenchmarkGetRandom_ContainerList/n=16384-8,32785,36085,0,0,
mlist/BenchmarkGetRandom_ContainerList/n=65536-8,mlist,BenchmarkGetRandom_ContainerList/n=65536-8,6378,182348,0,0,
pflist/BenchmarkPushPop_PFList/n=1024-8,pflist,BenchmarkPushPop_PFList/n=1024-8,10871630,95.51,40,2,
pflist/BenchmarkPushPop_PFList/n=4096-8,pflist,BenchmarkPushPop_PFList/n=4096-8,12432303,98.72,40,2,
pflist/BenchmarkPushPop_PFList/n=16384-8,pflist,BenchmarkPushPop_PFList/n=16384-8,11359069,100.0,40,2,
pflist/BenchmarkPushPop_PFList/n=65536-8,pflist,BenchmarkPushPop_PFList/n=65536-8,12611809,94.79,40,2,
pflist/BenchmarkPushPop_Slice/n=1024-8,pflist,BenchmarkPushPop_Slice/n=1024-8,797594931,1.609,0,0,
pflist/BenchmarkPushPop_Slice/n=4096-8,pflist,BenchmarkPushPop_Slice/n=4096-8,712211533,1.595,0,0,
pflist/BenchmarkPushPop_Slice/n=16384-8,pflist,BenchmarkPushPop_Slice/n=16384-8,759774176,1.624,0,0,
pflist/BenchmarkPushPop_Slice/n=65536-8,pflist,BenchmarkPushPop_Slice/n=65536-8,608789041,2.083,0,0,
pflist/BenchmarkPushPop_ContainerList/n=1024-8,pflist,BenchmarkPushPop_ContainerList/n=1024-8,9097852,128.3,56,1,
pflist/BenchmarkPushPop_ContainerList/n=4096-8,pflist,BenchmarkPushPop_ContainerList/n=4096-8,9985512,111.3,56,1,
pflist/BenchmarkPushPop_ContainerList/n=16384-8,pflist,BenchmarkPushPop_ContainerList/n=16384-8,7173098,181.1,56,1,
pflist/BenchmarkPushPop_ContainerList/n=65536-8,pflist,BenchmarkPushPop_ContainerList/n=65536-8,5651319,215.5,55,1,
pflist/BenchmarkGetRandom_PFList/n=1024-8,pflist,BenchmarkGetRandom_PFList/n=1024-8,100000000,11.27,0,0,
pflist/BenchmarkGetRandom_PFList/n=4096-8,pflist,BenchmarkGetRandom_PFList/n=4096-8,92014195,13.01,0,0,
pflist/BenchmarkGetRandom_PFList/n=16384-8,pflist,BenchmarkGetRandom_PFList/n=16384-8,100000000,13.99,0,0,
pflist/BenchmarkGetRandom_PFList/n=65536-8,pflist,BenchmarkGetRandom_PFList/n=65536-8,91972875,11.50,0,0,
pflist/BenchmarkBranching_PFList/n=1024-8,pflist,BenchmarkBranching_PFList/n=1024-8,9842,101795,36864,1024,
pflist/BenchmarkBranching_PFList/n=4096-8,pflist,BenchmarkBranching_PFList/n=4096-8,10000,109499,36864,1024,
pflist/BenchmarkBranching_PFList/n=16384-8,pflist,BenchmarkBranching_PFList/n=16384-8,10000,103135,36864,1024,
